trial,source,precision,recall,f1,time_ms,f1_std,diff_weight,color_weight,difference_method,madi_window_size,madi_color_weight,use_filter,filter_sigma,gaussian_max_sigma,use_clahe,clahe_mode,clahe_clip_limit,clahe_tile_grid_size,use_radiometric_normalization,radiometric_method,radiometric_channels,radiometric_quantiles,use_canny,canny_percentile,edge_detector,edge_weight,edge_dilation_iterations,fusion_method,use_multiscale,multiscale_levels,multiscale_weight_decay,block_size,threshold_C,kimura_k,threshold_method,closing_kernel,opening_kernel,min_area,auto_area,fill_holes,min_rectangularity,use_vegetation_suppression,exg_threshold,exg_min_green,vegetation_kernel,vegetation_suppression_factor,use_building_prior,building_prior_strength,building_edge_kernel,shadow_percentile,shadow_dilation,use_building_filter,building_min_rectangularity,building_min_extent,building_min_edge_density,building_min_shadow_support,building_max_vegetation_overlap,building_min_support_score,building_max_aspect_ratio,building_shadow_ring_kernel,filter_sigma_mode
0,base_config,0.1522361982730212,0.7300121662840046,0.2207300625190074,14.90296083308446,0.1829514577603185,0.6894981772890645,1.0,combined,31,0.35,False,,3.0,False,adaptive,2.0,"[16, 16]",False,quantile,bgr,64,False,90.0,canny,0.0,1,diff_only,True,3,0.6556891480761657,55,18.0,0.1888398096780547,hybrid,7,3,137,False,False,,True,0.08,0.18,3,0.2198842054769784,True,0.3411509096094983,9,25.0,9,True,0.3197709821586621,0.2235023620230256,0.0246556979930498,0.0078949201594258,0.3828124279044251,0.4400101709095809,8.0,9,auto
12,random_search,0.1435407683156261,0.8040905355298459,0.2182255387976547,24.883573345141485,0.1760142580309031,0.7513265719638085,0.9795706805865928,combined,47,0.5846081555784967,True,0.6299046661627606,3.0,True,fixed,1.198226283159751,"[32, 32]",False,quantile,bgr,64,False,90.0,canny,0.0,1,diff_only,False,1,0.6556891480761657,47,16.0,0.2108204107842912,hybrid,3,1,103,False,False,,False,0.08,0.18,3,0.3813996827967579,False,0.405825308494844,9,25.0,9,True,0.3299389952502538,0.1779536821907913,0.0291150909609498,0.0095040086347079,0.3313994791851058,0.3286291335402948,8.0,9,fixed
34,random_search,0.157472415016609,0.6330671761199869,0.2180521425813345,9.420928337688869,0.1863988672005416,0.7448282108376987,0.3950072400405564,combined,21,0.112030617276113,True,1.519903575901413,3.0,False,adaptive,2.0,"[16, 16]",False,quantile,bgr,64,False,90.0,canny,0.0,1,diff_only,True,3,0.5213767047287323,23,19.0,0.3237748232425793,hybrid,7,1,42,False,True,,True,0.08,0.18,3,0.5167474522814149,False,0.3016210780149221,9,25.0,9,False,0.4051058460548288,0.298343282103947,0.0392454390661118,0.0160932823404695,0.4494768365245342,0.2366152838816713,8.0,9,fixed
33,random_search,0.149230871761718,0.6837786771907592,0.214240431306679,4.779612482525408,0.1793652532337953,0.5972838044454322,0.294755193202763,combined,29,0.6271838826319509,True,1.182967978752191,3.0,False,adaptive,2.0,"[16, 16]",False,quantile,bgr,64,False,90.0,canny,0.0,1,diff_only,True,1,0.6882855098742909,25,18.0,0.1260993519685485,otsu,7,3,122,False,True,,False,0.08,0.18,3,0.3480832500296245,False,0.4403078538861735,9,25.0,9,False,0.4200813385958161,0.3016844474369508,0.0493366830397175,0.0095469029822144,0.4301040681599358,0.2043644572794246,8.0,9,fixed
23,random_search,0.1480524826782774,0.6913053357119633,0.213929730086146,24.644816666841507,0.1652169835834683,0.5523957414517491,0.90955224387135,combined,39,0.6377057241252913,False,,3.0,True,adaptive,2.537255178918758,"[32, 32]",False,quantile,bgr,64,True,90.98580350237782,sobel,0.0524898579480352,1,diff_only,True,2,0.8169350690206705,41,10.0,0.1516566906828814,hybrid,3,1,38,False,True,,True,0.08,0.18,3,0.6137302292520134,False,0.2730140289683144,9,25.0,9,True,0.4295431574673209,0.1514628912586031,0.0211208842640325,0.01465460238258,0.471819420574242,0.5436320816398874,8.0,9,auto
10,random_search,0.1261947664783268,0.8653249217507363,0.2009453895226974,17.04589499665114,0.1653680834723191,0.7338694768880056,0.6031071573387257,combined,31,0.280638032555387,False,,3.0,True,adaptive,2.061539181198107,"[32, 32]",False,quantile,bgr,64,False,90.0,canny,0.0,1,diff_only,True,1,0.79699625270093,27,11.0,0.1243518688854074,hybrid,3,1,199,False,False,,False,0.08,0.18,3,0.2026390399270624,False,0.1766235427820712,9,25.0,9,True,0.2938519732578095,0.3149328380912682,0.0224133869569629,0.0045896947934805,0.5723396653706075,0.2579361029573473,8.0,9,auto
5,random_search,0.1366260274160304,0.7319230020065902,0.2001157361973302,33.57790917313347,0.1601125658182539,0.5278881449168056,0.2023633647952303,madi,45,0.434414676706422,True,1.6234037553594716,3.0,False,adaptive,2.0,"[16, 16]",True,quantile,bgr,64,True,95.2793714091085,sobel,0.379259764917605,0,max,False,1,0.6556891480761657,33,9.0,0.2252293906738207,hybrid,5,1,130,False,False,,True,0.08,0.18,3,0.3579037010853048,False,0.3475963276978075,9,25.0,9,True,0.3489583636998356,0.1789048377732093,0.014136118708902,0.0125776022991988,0.3097075389879101,0.5237920414318791,8.0,9,fixed
57,random_search,0.127206574386603,0.8860575962049758,0.2000177804143087,24.710609152680263,0.1663877433415526,0.7653422442723102,0.6122210085939525,combined,19,0.1181425059881096,False,,3.0,False,adaptive,2.0,"[16, 16]",True,histogram,luminance,128,True,96.70883229267592,both,0.1093521130758174,0,max,False,1,0.6556891480761657,53,18.0,0.1209081306150633,hybrid,7,3,9,False,True,,True,0.08,0.18,3,0.181664239351279,True,0.3774278858814942,9,25.0,9,True,0.5237346388886925,0.257443776738868,0.0350395822679632,0.0056336105289717,0.5302042672358476,0.4162261179769542,8.0,9,auto
43,random_search,0.1220581326925306,0.8959908722529393,0.1964032677682875,14.487670006928964,0.1605327704578827,0.6427138603805072,0.0232275823467584,combined,37,0.6563307099918837,False,,3.0,False,adaptive,2.0,"[16, 16]",False,quantile,bgr,64,True,90.32731463675172,both,0.4679687497178629,1,diff_canny_xor_and,False,1,0.6556891480761657,29,18.0,0.1969472768277388,adaptive,5,3,127,False,False,,True,0.08,0.18,3,0.2721025003829441,True,0.5195497997994025,9,25.0,9,False,0.5029968657285937,0.3456408861529122,0.0397996610311875,0.0157640101141159,0.5169065321869242,0.3682126708298073,8.0,9,auto
53,random_search,0.1256112745869582,0.7391976185125014,0.1942929742574602,24.9155191568813,0.1555074595604029,0.4351708940996637,0.1605883125849186,madi,33,0.3724428591347112,True,1.3267901668652635,3.0,True,fixed,1.746121175116106,"[32, 32]",False,quantile,bgr,64,False,90.0,canny,0.0,1,diff_only,True,2,0.8361663813926942,55,17.0,0.10628278782951,otsu,7,5,119,False,False,,False,0.08,0.18,3,0.3372319682244689,True,0.4743851608959687,9,25.0,9,True,0.3945290654086515,0.2628785360718357,0.0492857718527137,0.0129298057488932,0.3987427849831355,0.3294945287465192,8.0,9,fixed
